black_pixels,contours,label
20299,224,100
20283,217,100
20572,217,100
20605,176,100
19963,215,100
20076,197,100
20605,197,100
20732,226,100
21307,204,100
20751,216,100
20577,197,100
20600,205,100
20534,214,100
20642,195,100
20952,215,100
20743,209,100
20507,196,100
20144,204,100
20070,219,100
20598,186,100
21215,208,100
20833,198,100
20424,221,100
20794,219,100
21014,200,100
20384,208,100
20481,207,100
20498,205,100
20221,217,100
20383,207,100
20457,196,100
20944,222,100
21097,222,100
20947,186,100
20726,217,100
20698,218,100
20828,201,100
20495,201,100
20488,221,100
20086,221,100
20510,194,100
21056,206,100
20835,219,100
20939,207,100
20772,203,100
20634,224,100
21052,212,100
20651,216,100
20124,219,100
20446,228,100
20727,227,100
