white_pixels,contours,label
1265864,798,100
1170137,3168,400
1199623,2749,300
1269252,847,100
1199448,2769,300
1267973,831,100
1202476,2844,300
1202799,2631,300
1166736,3255,400
1200018,2908,300
1225114,2373,200
1225834,2380,200
1223501,2354,200
1268569,758,100
1224386,2233,200
1201073,2924,300
1196849,2872,300
1269766,808,100
1222934,2522,200
1166472,3097,400
1269094,806,100
1226276,2361,200
1268356,835,100
1270168,777,100
1204242,2781,300
1197986,2878,300
1266448,830,100
1227260,2371,200
1224511,2384,200
1163232,3476,400
1267853,875,100
1229159,2414,200
1227138,2285,200
1170353,3351,400
1164359,3258,400
1165033,3189,400
1225442,2391,200
1198864,2817,300
1168106,3244,400
1167317,3090,400
1225664,2463,200
1199264,2905,300
1225846,2325,200
1226557,2464,200
1268778,796,100
1226148,2374,200
1201403,2741,300
1267770,748,100
1268481,864,100
1268821,798,100
1224723,2384,200
1225408,2571,200
1165767,3199,400
1227459,2315,200
1270151,859,100
1223324,2437,200
1160103,3248,400
1268691,771,100
1225504,2396,200
1164710,3307,400
1163043,3180,400
1269553,794,100
1269200,785,100
1200046,2679,300
1200161,2873,300
1162816,2982,400
1202109,2787,300
1201599,2879,300
1267167,815,100
1222749,2337,200
1202791,2817,300
1223344,2323,200
1268158,828,100
1268340,844,100
1267961,835,100
1268565,835,100
1227459,2361,200
1269082,802,100
1166319,3337,400
1225867,2270,200
1268877,813,100
1164882,3133,400
1224473,2486,200
1216145,2623,300
1268051,820,100
1225462,2413,200
1227472,2388,200
1201250,2928,300
1165059,3060,400
1162130,3144,400
1172078,3410,400
1203382,2732,300
1171430,3089,400
1226471,2328,200
1168044,3303,400
1200876,2875,300
1224992,2533,200
1267414,822,100
1268521,758,100
1270473,812,100
1225445,2471,200
1167886,3198,400
1163988,3326,400
1164951,3205,400
1198322,2808,300
1268354,784,100
1201564,2789,300
1197543,2844,300
1228222,2289,200
1162022,3011,400
1167089,3323,400
1196588,2723,300
1269806,855,100
1269004,756,100
1225731,2401,200
1169532,2984,400
1164892,3203,400
1202740,2874,300
1223769,2361,200
1165026,3132,400
1225166,2481,200
1267301,820,100
1226328,2433,200
1201716,2745,300
1267953,893,100
1223975,2352,200
1197315,2516,300
1200875,2810,300
1268981,779,100
1225379,2335,200
1201579,2888,300
1165601,3211,400
1227016,2261,200
1227295,2326,200
1161898,3359,400
1162460,3250,400
1269136,753,100
1201549,2731,300
1162284,3376,400
1166914,3178,400
1201575,2720,300
1224643,2299,200
1164368,3070,400
1199514,2872,300
1225575,2388,200
1199055,2945,300
1202955,2878,300
1268947,810,100
1199481,2664,300
1269164,759,100
1203439,2757,300
1197601,2776,300
1221275,2375,200
1268965,808,100
1267396,823,100
1268187,813,100
1224704,2555,200
1222416,2571,200
1200940,2590,300
1268940,764,100
1223764,2354,200
1168228,3240,400
1225984,2347,200
1269666,830,100
1202459,2839,300
1199578,2732,300
1224275,2503,200
1168011,3288,400
1160915,3127,400
1160947,3248,400
1200147,2761,300
1225652,2478,200
1225535,2492,200
1267547,829,100
1165825,3213,400
1163954,3248,400
1224024,2401,200
1200864,2863,300
1166168,3232,400
1164861,3150,400
1268426,813,100
1200784,2955,300
1201624,2904,300
1165205,3205,400
1167920,3359,400
1169528,3252,400
1223367,2542,200
1203367,2763,300
1199542,2873,300
1223428,2528,200
1161209,3047,400
1224905,2323,200
1201053,2763,300
1163611,3206,400
1267574,767,100
1165047,3231,400
1268713,768,100
1201384,2848,300
1225605,2373,200
1269378,827,100
1223871,2443,200
1266730,794,100
1268692,805,100
1268858,813,100
1197541,2652,300
1163184,3349,400
