black_pixels,contours,label
107414,1431,400
108213,1474,400
108946,1513,400
108209,1485,400
108741,1483,400
107526,1447,400
108193,1512,400
107749,1490,400
106169,1481,400
107447,1523,400
104282,1510,400
107561,1500,400
103668,1486,400
105116,1411,400
102196,1490,400
104765,1472,400
105554,1501,400
104558,1475,400
102945,1504,400
103567,1409,400
105738,1440,400
107091,1517,400
110531,1524,400
107245,1524,400
107607,1444,400
107197,1582,400
108450,1481,400
105390,1513,400
102853,1491,400
105423,1469,400
105758,1437,400
106805,1457,400
105613,1526,400
108964,1578,400
107581,1491,400
108444,1498,400
108746,1590,400
108457,1499,400
106514,1506,400
107637,1452,400
106777,1507,400
106877,1426,400
104370,1479,400
107875,1454,400
109633,1446,400
106867,1506,400
106696,1471,400
109215,1512,400
109348,1503,400
108948,1521,400
